Ancestors,Latitude,Longitude
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-Y128953>J-Y143735>J-FTA58931>J-Y143749>J-FTA58425>J-FTA58425*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-Y128953>J-Y143735>J-FTA58931>J-Y143749>J-FTA58425>J-FTC65353,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-Y128953>J-Y143735>J-FTA58931>J-Y143749>J-FTA58425>J-FTC65353,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-ZS3114>J-B234>J-BY38057>J-ZS5658>J-FT117382>J-BY38055>J-ZS5655>J-ZS5644>J-Y128953>J-Y143735>J-FTA58931>J-Y143749>J-FTA58425>J-FTC65353,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-Y4423>J-ZS3042>J-ZS4887>J-B233>J-Y236616,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-Y4423>J-ZS3042>J-ZS4887>J-B233>J-FT423523>J-FT423523*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-Y4423>J-ZS3042>J-ZS4887>J-B233>J-FT423523>J-Y335788,42.36000000,47.1424000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-Y4423>J-ZS3042>J-ZS4887>J-B233>J-FT423523>J-Y335788,43.37570000,43.3982000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-Y4423>J-ZS3042>J-ZS3030>J-Y40579>J-Y345827,31.80950000,36.8284000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-Y4423>J-ZS3042>J-ZS3030>J-Y40579>J-Y345827,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-Y4423>J-ZS3042>J-ZS3030>J-Y40579>J-ZS3026>J-ZS3026*,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-Y4423>J-ZS3042>J-ZS3030>J-Y40579>J-ZS3026>J-ZS3034,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-Y4423>J-ZS3042>J-ZS3030>J-Y40579>J-ZS3026>J-ZS3034,43.21530000,45.7570000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-Y4423>J-ZS3042>J-ZS3030>J-Y140347>J-Y140368>J-Y140368*,42.36000000,47.1424000
J1>J-Z2215>J-Z2217>J-CTS1026>J-Z1828>J-Y4401>J-Z1842>J-Y3476>J-Y4423>J-ZS3042>J-ZS3030>J-Y140347>J-Y140368>J-FT8525,42.36000000,47.1424000
